Security,TUSSLMU Index                                                   ,,
Start Date,12/29/2000 0:00,,
End Date,12/31/2021 0:00,,
Period,M,,
Currency,USD,,
,,,
Date,PX_LAST,Change,% Change
12/31/2021,521.95,21.12,4.21699978
11/30/2021,500.83,-8.51,-1.670789649
10/29/2021,509.34,43.68,9.380234506
9/30/2021,465.66,-24.06,-4.913011517
8/31/2021,489.72,14.65,3.083756078
7/30/2021,475.07,13.59,2.944873017
6/30/2021,461.48,11.91,2.649198123
5/31/2021,449.57,3.62,0.811750196
4/30/2021,445.95,22.1,5.214108765
3/31/2021,423.85,18.48,4.558798135
2/26/2021,405.37,12.38,3.150207384
1/29/2021,392.99,-3.23,-0.815203675
12/31/2020,396.22,14.32,3.749672689
11/30/2020,381.9,37.76,10.97227872
10/30/2020,344.14,-9.8,-2.768830875
9/30/2020,353.94,-12.64,-3.44808773
8/31/2020,366.58,25.76,7.558241887
7/31/2020,340.82,13.48,4.118042402
6/30/2020,327.34,5.38,1.671015033
5/29/2020,321.96,16.18,5.291385964
4/30/2020,305.78,33.83,12.43978673
3/31/2020,271.95,-38.83,-12.49436901
2/28/2020,310.78,-25.44,-7.566474332
1/31/2020,336.22,2.83,0.848855695
12/31/2019,333.39,9.41,2.904500278
11/29/2019,323.98,11.4,3.647066351
10/31/2019,312.58,5.68,1.850765722
9/30/2019,306.9,5.23,1.733682501
8/30/2019,301.67,-3.1,-1.017160482
7/31/2019,304.77,5.65,1.88887403
6/28/2019,299.12,18.31,6.520423062
5/31/2019,280.81,-17.52,-5.872691315
4/30/2019,298.33,10.71,3.723663167
3/29/2019,287.62,5.07,1.794372677
2/28/2019,282.55,10.4,3.82142201
1/31/2019,272.15,18.94,7.479957348
12/31/2018,253.21,-23.43,-8.469491035
11/30/2018,276.64,10.02,3.758157678
10/31/2018,266.62,-20.04,-6.990860253
9/28/2018,286.66,1.66,0.58245614
8/31/2018,285,6.76,2.429557217
7/31/2018,278.24,10.82,4.046069853
6/29/2018,267.42,1.58,0.594342462
5/31/2018,265.84,4.23,1.616910669
4/30/2018,261.61,0.84,0.322122944
3/30/2018,260.77,-3.74,-1.413935201
2/28/2018,264.51,-11.06,-4.013499292
1/31/2018,275.57,14.23,5.445014158
12/29/2017,261.34,2.96,1.145599505
11/30/2017,258.38,6.48,2.572449385
10/31/2017,251.9,5.9,2.398373984
9/29/2017,246,5.89,2.453042356
8/31/2017,240.11,-0.51,-0.211952456
7/31/2017,240.62,5.37,2.282678002
6/30/2017,235.25,1.61,0.689094333
5/31/2017,233.64,3.03,1.313906596
4/28/2017,230.61,2.39,1.047235124
3/31/2017,228.22,0.04,0.01753002
2/28/2017,228.18,7.13,3.225514589
1/31/2017,221.05,4.28,1.974442958
12/30/2016,216.77,3.57,1.674484053
11/30/2016,213.2,7.56,3.676327563
10/31/2016,205.64,-4.99,-2.369083227
9/30/2016,210.63,-0.18,-0.085384944
8/31/2016,210.81,0.71,0.337934317
7/29/2016,210.1,7.75,3.829997529
6/30/2016,202.35,0.68,0.337184509
5/31/2016,201.67,2.64,1.326433201
4/29/2016,199.03,1.29,0.652371801
3/31/2016,197.74,13.15,7.123896202
2/29/2016,184.59,0.56,0.304298212
1/29/2016,184.03,-9.97,-5.139175258
12/31/2015,194,-3.7,-1.871522509
11/30/2015,197.7,-0.02,-0.010115315
10/30/2015,197.72,14.74,8.055525194
9/30/2015,182.98,-4.76,-2.535421327
8/31/2015,187.74,-11.94,-5.979567308
7/31/2015,199.68,3.98,2.033725089
6/30/2015,195.7,-4.35,-2.174456386
5/29/2015,200.05,2.05,1.035353535
4/30/2015,198,0.19,0.096051767
3/31/2015,197.81,-2.43,-1.213543748
2/27/2015,200.24,9.46,4.958591047
1/30/2015,190.78,-5.83,-2.965261177
12/31/2014,196.61,-0.63,-0.319407828
11/28/2014,197.24,4.45,2.308211007
10/31/2014,192.79,4.07,2.156634167
9/30/2014,188.72,-3.79,-1.968728897
8/29/2014,192.51,7.48,4.042587688
7/31/2014,185.03,-2.45,-1.306806059
6/30/2014,187.48,3.9,2.124414424
5/30/2014,183.58,4.34,2.421334524
4/30/2014,179.24,0.9,0.504654032
3/31/2014,178.34,1.12,0.631982846
2/28/2014,177.22,8.3,4.913568553
1/31/2014,168.92,-5.32,-3.053259871
12/31/2013,174.24,4.24,2.494117647
11/29/2013,170,3.64,2.188025968
10/31/2013,166.36,7.17,4.504051762
9/30/2013,159.19,5.42,3.524744749
8/30/2013,153.77,-5.08,-3.197985521
7/31/2013,158.85,7.25,4.7823219
6/28/2013,151.6,-1.69,-1.102485485
5/31/2013,153.29,3.88,2.596881066
4/30/2013,149.41,2.2,1.494463691
3/29/2013,147.21,6.05,4.28591669
2/28/2013,141.16,2.28,1.641705069
1/31/2013,138.88,8.41,6.445926267
12/31/2012,130.47,1.99,1.548879203
11/30/2012,128.48,1.28,1.006289308
10/31/2012,127.2,-1.91,-1.479358686
9/28/2012,129.11,2.8,2.216768269
8/31/2012,126.31,2.89,2.341597796
7/31/2012,123.42,1.24,1.014896055
6/29/2012,122.18,3.34,2.810501515
5/31/2012,118.84,-8.11,-6.388341867
4/30/2012,126.95,-0.71,-0.556164813
3/30/2012,127.66,3.62,2.918413415
2/29/2012,124.04,3.93,3.272000666
