Date,PX_LAST,Change,% Change
2021/12/1,521.95,21.12,4.21699978
2021/11/1,500.83,-8.51,-1.670789649
2021/10/1,509.34,43.68,9.380234506
2021/9/1,465.66,-24.06,-4.913011517
2021/8/1,489.72,14.65,3.083756078
2021/7/1,475.07,13.59,2.944873017
2021/6/1,461.48,11.91,2.649198123
2021/5/1,449.57,3.62,0.811750196
2021/4/1,445.95,22.1,5.214108765
2021/3/1,423.85,18.48,4.558798135
2021/2/1,405.37,12.38,3.150207384
2021/1/1,392.99,-3.23,-0.815203675
2020/12/1,396.22,14.32,3.749672689
2020/11/1,381.9,37.76,10.97227872
2020/10/1,344.14,-9.8,-2.768830875
2020/9/1,353.94,-12.64,-3.44808773
2020/8/1,366.58,25.76,7.558241887
2020/7/1,340.82,13.48,4.118042402
2020/6/1,327.34,5.38,1.671015033
2020/5/1,321.96,16.18,5.291385964
2020/4/1,305.78,33.83,12.43978673
2020/3/1,271.95,-38.83,-12.49436901
2020/2/1,310.78,-25.44,-7.566474332
2020/1/1,336.22,2.83,0.848855695
2019/12/1,333.39,9.41,2.904500278
2019/11/1,323.98,11.4,3.647066351
2019/10/1,312.58,5.68,1.850765722
2019/9/1,306.9,5.23,1.733682501
2019/8/1,301.67,-3.1,-1.017160482
2019/7/1,304.77,5.65,1.88887403
2019/6/1,299.12,18.31,6.520423062
2019/5/1,280.81,-17.52,-5.872691315
2019/4/1,298.33,10.71,3.723663167
2019/3/1,287.62,5.07,1.794372677
2019/2/1,282.55,10.4,3.82142201
2019/1/1,272.15,18.94,7.479957348
2018/12/1,253.21,-23.43,-8.469491035
2018/11/1,276.64,10.02,3.758157678
2018/10/1,266.62,-20.04,-6.990860253
2018/9/1,286.66,1.66,0.58245614
2018/8/1,285,6.76,2.429557217
2018/7/1,278.24,10.82,4.046069853
2018/6/1,267.42,1.58,0.594342462
2018/5/1,265.84,4.23,1.616910669
2018/4/1,261.61,0.84,0.322122944
2018/3/1,260.77,-3.74,-1.413935201
2018/2/1,264.51,-11.06,-4.013499292
2018/1/1,275.57,14.23,5.445014158
2017/12/1,261.34,2.96,1.145599505
2017/11/1,258.38,6.48,2.572449385
2017/10/1,251.9,5.9,2.398373984
2017/9/1,246,5.89,2.453042356
2017/8/1,240.11,-0.51,-0.211952456
2017/7/1,240.62,5.37,2.282678002
2017/6/1,235.25,1.61,0.689094333
2017/5/1,233.64,3.03,1.313906596
2017/4/1,230.61,2.39,1.047235124
2017/3/1,228.22,0.04,0.01753002
2017/2/1,228.18,7.13,3.225514589
2017/1/1,221.05,4.28,1.974442958
2016/12/1,216.77,3.57,1.674484053
2016/11/1,213.2,7.56,3.676327563
2016/10/1,205.64,-4.99,-2.369083227
2016/9/1,210.63,-0.18,-0.085384944
2016/8/1,210.81,0.71,0.337934317
2016/7/1,210.1,7.75,3.829997529
2016/6/1,202.35,0.68,0.337184509
2016/5/1,201.67,2.64,1.326433201
