Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
1926/7/31,0.56,-5.19,1.29,2.93,10.97,-0.48,8.08,1.77,8.14,0.39,2.07,4.07,5.43,3.18,16.39,1.02,5.64,1.54,-1.4,7.04,0.83,9.22,2.06,7.7,1.91,-23.79,0.07,1.87,-0.02,5.2
1926/8/31,2.59,27.03,6.5,0.55,10.01,-3.58,-2.51,4.25,5.5,7.97,4.72,2.17,2.06,2.1,4.23,1.66,0.55,0.85,3.69,-1.69,2.17,2.02,4.39,-2.38,4.85,5.39,-0.75,-0.13,4.47,6.76
1926/9/30,1.16,4.02,1.26,6.58,-0.99,0.73,-0.51,0.69,5.33,2.3,-0.5,0.15,0.36,-0.56,4.83,2.73,1.74,0.3,-3.69,2.04,2.41,2.25,0.19,-5.54,0.07,-7.87,0.25,-0.56,-1.61,-3.86
1926/10/31,-3.06,-3.31,1.06,-4.76,9.47,-4.68,0.12,-0.57,-4.76,1,-4.55,-3.85,1.11,-5.73,-7.93,-5.56,-3.2,2.23,-1.04,-2.63,-0.11,-2,-1.09,-5.08,-2.61,-15.38,-2.2,-4.11,-5.51,-8.49
1926/11/30,6.35,7.29,4.55,1.66,-5.8,-0.54,1.87,5.42,5.2,3.1,2.2,3.86,3.18,5.08,-0.66,7.87,8.46,-0.48,0.06,3.71,1.63,3.77,3.64,3.84,1.61,4.67,6.52,4.33,2.34,4
1926/12/31,-0.51,-4.09,2.55,2.17,0.53,2.56,0.6,0.11,5.37,6.39,3.52,3.75,5.02,-2.47,10.49,2.48,1.83,1.43,2.94,-0.17,1.99,6.21,7.24,-4.63,3.68,9.65,0.57,1.51,2.6,-2.34
1927/1/31,-0.84,0.57,-0.35,1.87,9.67,4.08,-1.06,5.05,0.23,-1.49,-1.89,-0.39,1.19,-1.02,-0.81,-0.61,4.17,-3.06,1.67,-1.79,1.88,2.08,-1.45,-2.6,1.42,-17.93,-2.7,1.52,-2.04,-3.96
1927/2/28,4.42,12.83,1.49,1.64,1.41,4.57,2.77,1.71,9.69,7.66,4.17,3.67,7.85,4.3,9.56,4.6,5.2,5.64,1.13,4.53,3.97,8.9,4.85,5.46,5.18,3.49,3.47,6.86,2.71,0.28
1927/3/31,2.09,-13.56,5.51,1.02,-0.28,-0.08,0.9,1.01,6.07,-5.38,3.46,1.48,-2.24,0.4,1.56,-1.76,4.44,5.45,-7.01,0.37,5.56,-7.8,4.29,-9.67,1.02,-20.47,-0.3,-2.42,0.92,2.18
1927/4/30,2.72,2.85,4.01,-3.77,-0.96,1.44,5.95,2.74,2.95,0.46,-0.95,-0.34,1.82,6.29,2.91,-0.75,3.02,0.95,-5.78,1.71,-2.13,3.44,3.1,4.93,0.71,-10.75,4.38,6.56,2.45,5.27
1927/5/31,6.13,11.62,11.8,0.18,3.13,10.54,3.37,4.12,3.85,13.21,7.51,3.22,8.74,8.23,5.54,11.02,0.25,3.19,5,9.21,3.35,18.33,5.1,5.36,7.06,-4.01,2.24,4.62,10.03,1.64
1927/6/30,-2.22,10.05,-2.3,-7.74,12.54,-3.03,1.17,0.54,-1.72,2.29,-4.69,-3.42,-2.29,3.47,-3.37,-3.9,-1.93,-3.35,-3.14,-3.57,-2.14,-6.8,2.73,5.44,-2.02,-4.18,-0.7,1.27,-0.06,-3.82
1927/7/31,5.04,4.59,4.39,1.14,1.78,5.5,6.01,9.84,17.69,4.35,6.35,10.33,9.61,14.69,13.71,11.99,8.72,2.19,2.91,5.31,3.73,2.15,6.19,12.02,5.97,11.11,10.11,4.68,6.5,6.81
1927/8/31,2.33,-3.98,3.83,6.2,5.46,0.52,1.56,0.28,2.1,0.49,-1.17,3.97,0.9,7.06,7.32,3.97,0.97,2.43,-0.26,3.43,0.43,8.06,2.25,3.76,-1.66,-2.58,7.68,0.55,1.81,5.92
1927/9/30,6.04,7.01,4.63,4.18,10.04,2.53,4.65,5.65,5.97,1.89,4.56,3.77,5.3,0.11,6.28,3.73,6.83,1.46,3.5,8.29,6.53,2.15,4.17,3.37,4.32,5.6,7.61,5.94,5.98,0.43
1927/10/31,-2.46,-0.8,-0.32,0.26,2.63,-1.84,9.65,5.13,-7.46,-2.39,-4.54,-7.82,-5.21,-8.22,-4.55,-6.71,-3.17,-5.33,-1.73,-4.34,-2.09,4.97,-4.66,0.14,-4.61,-21.78,-5.03,-1.75,4.01,-3.62
1927/11/30,7.17,10.29,6.69,3.58,16.62,2.73,2.06,3.68,9.04,5.11,5.53,12.44,11.5,11.38,6.77,8.14,8.24,7.48,3.87,6.32,2.83,2.3,9.38,16.87,3.92,-1.3,12.11,3.01,7.92,11.19
1927/12/31,3.53,12.72,1.03,2.81,3.27,10.31,-0.15,-0.46,-0.23,2.41,0.05,5.84,2.92,1.19,7.67,2.76,13.43,-3.33,1.28,2.24,1.33,-7.83,1.3,1.04,0.07,11.45,-0.66,-1.56,11.17,1.07
1928/1/31,2.54,0.62,-2.56,-0.37,5.16,3.67,7.07,2.69,-1.08,-1.1,1.84,-2.42,-1.24,-1.01,-3.15,4.19,-1.66,-3.79,-1.69,5.87,0.3,0.56,1.18,1.51,-1.25,-0.95,-0.85,-1.58,1.48,-3.38
1928/2/29,-2.96,-5.22,-5.97,-0.89,-1.75,-0.01,-2.45,-1.38,0.73,-4.77,1.58,-2.72,-2.76,-1.46,0.94,-4.6,-7.59,-1.33,-0.12,-0.68,-0.3,-0.52,2.02,0.86,-1.38,-8.29,-1.04,-2.59,-2.9,-2.68
1928/3/31,5.11,14.47,2.34,8.82,5.26,9.99,3.99,10.54,13.16,7.63,6.59,6.16,6.5,26.17,27.86,6.53,7.37,5.23,5.33,6.62,1.96,-2.44,3.23,11.08,5.72,8.12,8.69,3.47,9.56,8.85
1928/4/30,2.69,4.87,-5.95,5.4,21.23,3.59,9.96,2.35,-0.26,-4.04,2.9,1.43,3.48,2.44,1.09,2.28,-0.57,1.95,16.25,10.94,3.22,2.42,1.6,-0.25,4.45,-5.85,-0.03,0.47,9.19,10.95
1928/5/31,1.6,5.48,-0.03,1.85,17.68,-2.52,-0.99,9.27,2.98,-6.11,-0.43,5.52,4.79,1.76,5.9,-1.63,1.16,0.49,-5.72,1.51,6.61,0.78,3.88,6.13,-0.44,7.95,3.44,14.12,2.06,-0.8
1928/6/30,-3.93,-4.21,-4.3,-5.05,-10.78,-6.67,-7.13,-3.15,-2.95,-10.61,-3.86,-5.84,-3.19,-5.71,-4.07,-5.85,-3.56,-6.08,-3.91,-3.43,-5.22,-5.25,-3.06,-5.74,-3.86,-7.41,-3.4,-2.81,-9.96,-11.95
1928/7/31,1.06,0.7,3.35,1.56,1.13,0.68,0.53,2.39,1.82,-3.7,1.92,2.74,0.41,-1.01,1.28,-1.55,-1.24,-1.02,1.18,-1.24,-1.28,-4.94,5.34,4.34,-0.34,0.35,5.72,-0.6,0.33,-0.8
1928/8/31,7.85,12.4,3.79,9.48,6.48,9.55,0.18,14.57,8.89,1.91,4.38,9.63,7.58,12.3,9.1,5.94,8.18,1.84,2.44,6.46,4.55,15.16,3.01,12.69,4.03,4.06,13.69,12.37,5.16,12.78
1928/9/30,1.74,0.26,-0.39,11.02,-2.36,10.47,-1.13,-1.14,3.77,3.57,5.3,5.58,3.82,0.27,8.22,-0.44,3.01,-1.06,5.74,3.76,0.15,-0.17,1.81,-1.62,0.32,1.05,0.16,-0.02,1.83,-4.06
1928/10/31,-0.47,4.04,3.44,-1.21,5.62,8.15,-3.55,0.05,5.23,5.96,5.9,6.51,2.13,2.1,-0.04,-1.3,3.42,-1.69,2.26,-1.89,2.97,5.22,1.13,-5.47,-1.31,18.25,6.1,-2.19,2.61,-5.21
1928/11/30,6.62,5.7,6.79,10.4,1.01,16.58,2.56,5.05,12.39,9.09,9.3,14.9,15.78,23.5,4.7,10.13,15.11,6.32,17.85,21.93,6.68,17.77,8.22,5.1,9.28,11.95,15.52,9.51,9.94,3.77
1928/12/31,0.56,-3.84,-1.92,-0.66,-0.49,-3.63,-0.38,-0.41,2.33,-5.87,1.09,3.84,3.3,7.03,-0.02,1.33,1.96,-0.58,-4.55,1.57,-0.38,-7.63,7.49,1.71,0.21,-3.85,-1.24,-3.1,1.06,-12.59
1929/1/31,3.49,9.46,3.79,10.26,1.52,6.63,-1.88,3.43,22.88,-1.22,7.92,7.78,12.18,12.79,0.96,0.88,8.48,1.75,-8.09,13.17,13.38,-0.64,2.84,5.58,4.73,-4.95,-3.97,-0.12,8.12,1.21
1929/2/28,-1.67,-4.06,-4.64,1.16,-1.49,-6.92,-4.08,0.05,-0.19,2.35,-3.38,8.83,1.2,-1.31,0.42,0.92,8.43,0.89,-0.16,-1.99,-1.15,11.02,1.44,6.22,-1.46,-3.19,-2.49,0.16,0.83,-6.18
1929/3/31,-4.7,-2.9,-4.19,-9.83,-7.05,-7.65,-5.32,-1.5,-3.37,-7.27,-6.13,-0.07,-4.2,5.25,-1.34,0.69,4.1,-6.52,12.07,-3.17,4.29,-1.42,1.92,1.52,-2.84,-9.57,-5.13,-3.53,-1.15,-7.41
1929/4/30,3.68,13.63,-2.41,0.67,1.73,0.56,3.62,1.48,3.76,2.74,3.72,1.15,4.23,1.06,-1.23,-0.28,-5.86,-2.17,0.89,5.13,3.39,3.94,4.28,7.91,1.32,3.58,3.56,10.37,0.51,-10.73
1929/5/31,-5.1,-11,-0.21,-8.07,0.31,-10.37,-6.54,-7.84,-7.02,-13.86,-6.89,-12.41,-9.66,0.83,-15.16,-7.7,-10.99,-4.98,-5.6,4.8,-8.77,-4.92,-1.35,-8.17,2.47,-6.54,-8.85,-2.9,-3.23,-13.21
1929/6/30,8.09,12.51,-0.13,5.91,10.64,14.71,5.63,4.52,19.98,2.5,7.65,10.71,15.25,19.23,6.86,10.74,2.42,2.18,1.09,23.47,13.7,19.01,9.99,12.59,6,-2.97,9.21,19.11,6.3,5.08
