Date,Mkt-RF,SMB,HML,RMW,CMA,RF,QMJ,BAB,UMD,Momentum ,TSMOM,Carry,ESG,E,S,G
1963/7/1,-0.39,-0.44,-0.89,0.68,-1.23,0.27,0.684436194,0.812285495,0.270104642,0.97,,,,,1.435945,2.210925
1963/8/1,5.07,-0.75,1.68,0.36,-0.34,0.25,-0.9914621,-1.215830219,1.591270043,1.01,,,,,1.6771375,-0.9818742
1963/9/1,-1.57,-0.55,0.08,-0.71,0.29,0.27,0.623597154,1.068651057,-1.057191038,0.19,,,,,0.3940575,-0.7984617
1963/10/1,2.53,-1.37,-0.14,2.8,-2.02,0.29,2.001581951,-1.875605282,2.801265101,3.12,,,,,0.314545,4.155985
1963/11/1,-0.85,-0.89,1.81,-0.51,2.31,0.27,-0.862888242,-0.519820304,-1.80706475,-0.74,,,,,4.1817408,-0.8930108
1963/12/1,1.83,-2.07,-0.08,0.03,-0.04,0.29,0.317778449,0.012884493,1.796375251,1.75,,,,,-1.4273475,0.259355
1964/1/1,2.24,0.11,1.47,0.17,1.51,0.3,0.480655593,0.612817006,1.057534438,0.86,,,,,1.795315,1.936055
1964/2/1,1.54,0.3,2.74,-0.05,0.9,0.26,-0.439578296,-0.501539108,0.78377812,0.26,,,,,0.3525142,1.6516425
1964/3/1,1.41,1.36,3.36,-2.21,3.19,0.31,-1.460262414,-0.188250649,0.615571124,0.75,,,,,-5.48336,1.63855
1964/4/1,0.1,-1.59,-0.58,-1.27,-1.04,0.29,1.443069562,2.525903893,-0.247511016,-0.58,,,,,-0.20354,1.6243092
1964/5/1,1.42,-0.64,1.82,-0.16,0.14,0.26,-0.011122548,0.520341133,2.640325735,2.57,,,,,0.025795,1.8755975
1964/6/1,1.27,0.31,0.63,-0.28,-0.15,0.3,-0.308866121,0.786500166,-0.053363788,0.46,,,,,0.666585,-0.473475
1964/7/1,1.74,0.47,0.75,0.04,1.94,0.3,0.687090372,2.16441241,-0.569683043,-0.32,,,,,-2.5898158,-3.4214417
1964/8/1,-1.44,0.42,0.08,0.15,0.33,0.28,-0.061833952,0.937714229,-0.413261595,-0.22,,,,,-2.1574008,-1.8918525
1964/9/1,2.69,-0.33,1.7,-0.54,0.61,0.28,-0.271663921,-1.839643727,-1.698243032,-0.41,,,,,1.9781308,0.1958508
1964/10/1,0.59,0.91,1.17,-0.38,0.43,0.29,-0.537737379,0.616234382,-0.071099063,0.08,,,,,1.1154783,-0.9251767
1964/11/1,0,-0.15,-1.96,0.62,-0.26,0.29,0.57299278,1.992960292,0.899891846,1.03,,,,,-0.1754075,0.3663725
1964/12/1,0.03,-0.7,-2.48,1.04,-1.48,0.31,0.684925187,-0.033566176,-1.13155803,-0.74,,,,,3.1954842,-2.4010892
1965/1/1,3.54,2.44,0.12,0.89,0.1,0.28,-0.741667561,0.062177324,-1.10859806,-1.44,,,,,-6.0331233,0.5484592
1965/2/1,0.44,3.29,0.11,0.2,-0.65,0.3,-1.179361028,-0.087994261,0.374043184,0.32,,,,,0.5609042,2.022385
1965/3/1,-1.34,2.11,1.03,-0.36,0.72,0.36,-0.401137454,-0.465641207,0.515983755,0.15,,,,,-1.8400058,-0.4717533
